1,com/actionbarsherlock nerd/tuxmobil/fahrplan/congress
2,android/support/v4/app android/support/v4/content android/support/v4/media android/support/v4/util android/support/v4/view android/support/v4/widget
3,android/support/v4/graphics/drawable
4,android/support/v4/print
5,android/support/v4/text
6,android/support/v4/net
7,android/support/v4/hardware/display
8,android/support/v4/database
9,android/support/v4/accessibilityservice
10,android/support/v4/os
11,android/support/v4/internal/view
