1, android/support/v4/accessibilityservice
2, android/support/v4/app de/geeksfactory/opacclient org/jsoup org/holoeverywhere android/support/v7/internal/widget android/support/v7/app android/support/v7/internal/view android/support/v4/util android/support/v4/view android/support/v4/widget android/support/v7/widget org/acra android/support/v7/view android/support/v4/content android/support/v4/internal/view com/commonsware/cwac/adapter com/commonsware/cwac/endless
3, android/support/v4/database
4, android/support/v4/graphics/drawable
5, android/support/v4/hardware/display
6, android/support/v4/media
7, android/support/v4/net
8, android/support/v4/os
9, android/support/v4/print
10, android/support/v4/text
11, com/nineoldandroids/animation com/nineoldandroids/util com/nineoldandroids/view
12, org/apmem/tools/layouts
